domain1,N_vectensis,T_adhaerens,C_elegans,D_melanogaster,L_gigantea,Sea_urchin,B_floridae,C_intestinalis,P_marinus,D_rerio,T_rubripes,X_tropicalis,G_gallus,M_musculus,H_sapiens,
PF00171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15711,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
PF08317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF09237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00346,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF12171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF16744,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,
PF01585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08277,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
PF07648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02931,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02932,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03175,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,
PF01762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00780,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14575,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14704,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
PF00595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04665,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
PF12846,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF04188,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF07717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF04408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10198,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF00020,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02781,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF07701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08952,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF10242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF11976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02389,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,
PF11242,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PF04513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF06293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF08608,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,
PF04055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF15102,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
PF00857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF02050,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,
PF08234,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,
PF07993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF03015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF14580,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF12799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF13855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF01053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF00160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF05375,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
PF00093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PF11894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
